file_name,element_id,amount,unit_ref,decimals,contextref
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpdei_cor:numberofsubmissiondei,1,,0,FilingDateInstant
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,251930000000,,-6,Prior1YTDDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,236314000000,,-6,CurrentYTDDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,337789000000,,-6,Prior1YearDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,765000000,,-6,Prior1YTDDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,1900000000,,-6,CurrentYTDDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,616000000,,-6,Prior1YearDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,-417000000,,-6,Prior1YTDDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,-649000000,,-6,CurrentYTDDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,-1419000000,,-6,Prior1YearDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,-783000000,,-6,Prior1YTDDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,287000000,,-6,CurrentYTDDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,-3547000000,,-6,Prior1YearDuration
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,84854000000,,-6,Prior1QuarterInstant
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,81888000000,,-6,CurrentQuarterInstant
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,82087000000,,-6,Prior1YearInstant
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,267112000000,,-6,Prior1QuarterInstant
jpcrp040300-q3r-001_E26831-000_2020-02-29_01_2020-04-06.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,262068000000,,-6,CurrentQuarterInstant
